snp-dists 0.8.2,SGV021,SGV022,SGV023,SGV025,SGV026,SGV028,SGV031,SGV032,SGV033,SGV034,SGV035,SGV036,SGV037,SGV038,SGV039,SGV040,SGV041,SGV042,SGV043,SGV044,SGV045,SGV046,SGV047,SGV048,SGV049,SGV050,SGV051,SGV052,SGV053,SGV054,SGV055,SGV056,SGV057,SGV058,SGV059,SGV060,SGV061,SGV062,SGV063,SGV064,SGV065,SGV066,SGV067,SGV068,SGV069,SGV070,SGV071,SGV072,SGV073,SGV075,SGV077,SGV078,SGV079,SGV080
SGV050,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,0,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV051,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,0,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV052,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,0,1,3,1,5,6,0,4,10,9,3,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV053,4,7,6,4,4,7,5,6,7,8,5,4,6,7,4,8,6,6,5,7,10,6,8,6,7,7,6,1,0,4,2,6,7,1,5,11,10,4,6,8,7,7,8,8,10,4,4,8,4,5,6,7,5,6
SGV054,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV055,4,7,6,4,4,7,5,6,7,8,5,4,6,7,4,8,6,6,5,7,10,6,8,6,7,7,6,1,2,4,0,6,7,1,5,11,10,4,6,8,7,7,8,8,10,4,4,8,4,5,6,7,5,6
SGV056,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,4,5,6,2,6,0,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV057,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,0,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV058,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,0,1,3,1,5,6,0,4,10,9,3,5,7,6,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV059,1,4,3,1,1,4,2,3,4,5,2,1,3,4,1,5,3,3,2,4,7,3,5,3,4,4,3,4,5,1,5,3,4,4,0,8,7,3,3,5,4,4,5,5,7,1,1,5,1,2,3,4,2,3
SGV060,7,10,9,7,7,4,8,9,10,3,8,7,9,10,7,11,9,9,8,10,7,9,11,9,4,10,9,10,11,7,11,9,10,10,8,0,13,9,9,11,10,10,11,11,13,7,7,5,7,8,9,10,8,9
SGV061,6,9,8,6,6,9,7,8,9,10,7,6,8,9,6,10,8,6,7,9,12,8,10,8,9,9,8,9,10,6,10,8,9,9,7,13,0,8,8,10,3,9,10,10,12,6,6,10,6,7,8,9,7,8
SGV062,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,4,3,4,2,4,4,5,3,3,9,8,0,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV063,2,5,4,2,2,5,3,4,3,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,0,6,5,5,6,6,8,2,2,6,2,3,4,5,3,4
SGV064,4,7,6,4,4,7,5,6,7,8,5,4,6,7,4,8,6,6,5,7,10,6,8,6,7,7,6,7,8,4,8,6,7,7,5,11,10,6,6,0,7,7,8,8,10,4,4,8,4,5,6,7,5,6
SGV065,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,3,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,3,5,5,7,0,6,7,7,9,3,3,7,3,4,5,6,4,5
SGV066,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,0,7,7,9,3,3,7,3,4,5,6,4,5
SGV067,4,7,6,4,4,7,5,6,7,8,5,4,6,7,4,8,6,6,5,7,10,2,8,2,7,7,6,7,8,4,8,6,7,7,5,11,10,6,6,8,7,7,0,8,10,4,4,8,4,5,4,7,5,6
SGV068,4,7,6,4,4,7,5,6,7,8,3,4,4,7,4,8,6,6,5,7,10,6,0,6,7,7,6,7,8,4,8,6,7,7,5,11,10,6,6,8,7,7,8,0,10,4,4,8,4,5,6,7,5,6
SGV069,6,9,8,6,6,9,5,8,9,10,7,6,8,9,6,10,8,8,7,9,12,8,10,8,9,9,8,9,10,6,10,8,9,9,7,13,12,8,8,10,9,9,10,10,0,6,6,10,6,7,8,9,7,8
SGV070,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV071,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV072,4,7,6,4,4,1,5,6,7,2,5,4,6,7,4,8,6,6,5,7,4,6,8,6,1,7,6,7,8,4,8,6,7,7,5,5,10,6,6,8,7,7,8,8,10,4,4,0,4,5,6,7,5,6
SGV073,0,3,2,0,0,3,1,2,3,4,1,0,2,3,0,4,2,2,1,3,6,2,4,2,3,3,2,3,4,0,4,2,3,3,1,7,6,2,2,4,3,3,4,4,6,0,0,4,0,1,2,3,1,2
SGV075,1,4,3,1,1,4,2,3,4,5,2,1,3,4,1,5,3,3,2,4,7,3,5,3,4,4,3,4,5,1,5,3,4,4,2,8,7,3,3,5,4,4,5,5,7,1,1,5,1,0,3,4,2,3
SGV077,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,2,6,2,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,4,6,8,2,2,6,2,3,0,5,3,4
SGV078,3,6,5,3,3,6,4,5,6,7,4,3,5,6,3,7,5,5,4,6,9,5,7,5,6,6,5,6,7,3,7,5,6,6,4,10,9,5,5,7,6,6,7,7,9,3,3,7,3,4,5,0,4,5
SGV079,1,4,3,1,1,4,2,3,4,5,2,1,3,4,1,5,3,3,2,4,7,3,5,3,4,4,3,4,5,1,5,3,4,4,2,8,7,3,3,5,4,4,5,5,7,1,1,5,1,2,3,4,0,3
SGV080,2,5,4,2,2,5,3,4,5,6,3,2,4,5,2,6,4,4,3,5,8,4,6,4,5,5,4,5,6,2,6,4,5,5,3,9,8,4,4,6,5,5,6,6,8,2,2,6,2,3,4,5,3,0
